"rule";"condition";"eval"
"Rule 68";"BUPERCTOT_2000 <= 0.0132f && Distance2LargeInlandWater > 4.5027f && Distance2SecundaryRoads <= 1.60132f && Grid_costs_atleast_to_cities <= 13f && Grid_costs_atleast_to_towns <= 0f && Elevation > 5f && Elevation <= 19f && TRI_mean <= 1.01535f";"add(-0.0708757f * Intercept, -3.63f * BUPERCTOT_2000, -0.0001151f * Elevation, 0.0225f * ln_PopulationDensity_2000_8dir, -0.00129f * Grid_costs_atleast_to_cities, -0.0018f * Earthquakes_MMI_Index)"
"Rule 69";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && Distance2Coastline > 2.3977f && Distance2LargeInlandWater > 1.48364f && Distance2SecundaryRoads <= 0.737301f && Grid_costs_atleast_to_towns <= 0f && TRI_mean > 1.01274f";"add(0.0629016f * Intercept, -0.002322f * Distance2SecundaryRoads, 0.000537f * Distance2MajorRoads, 0.86f * BUPERCTOT_2000, 0.000132f * Distance2Coastline, -0.00021f * Grid_costs_atleast_to_cities, -0.034f * TRI_mean, 0.0001f * Distance2LargeInlandWater, 0.0004f * ln_PopulationDensity_2000_8dir, -0.003f * IsFloodProneArea_RP100, -0.002f * LandSlideProne_ARUP)"
"Rule 7";"BUPERCTOT_2000 > 0.000772f && BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir <= 4.184257f && Distance2SecundaryRoads > 4.41123f";"add(-5.67e-05f * Intercept, 1.15f * BUPERCTOT_2000)"
"Rule 70";"BUPERCTOT_2000 > 0.0132f && Distance2Coastline > 65.6127f && Distance2SecundaryRoads <= 0.971899f && Grid_costs_atleast_to_cities > 27f && Grid_costs_atleast_to_cities <= 50f && Elevation <= 36f && TRI_mean <= 1.00035f && Earthquakes_MMI_Index <= 5f";"add(0.0212071f * Intercept, 0.0015882f * Elevation, 0.00345f * Grid_costs_atleast_to_villages, -0.0016f * Grid_costs_atleast_to_towns, 1.08f * BUPERCTOT_2000, -0.00069f * Grid_costs_atleast_to_cities, -0.000136f * Distance2SecundaryRoads, -0.0031f * slope, 0.0012f * ln_PopulationDensity_2000_8dir, -0.0005f * Earthquakes_MMI_Index, -1e-05f * Distance2Coastline)"
"Rule 71";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && Distance2Coastline > 2.3977f && Distance2Coastline <= 76.4531f && Distance2LargeInlandWater > 1.48364f && Distance2SecundaryRoads <= 0.737301f && Grid_costs_atleast_to_towns <= 0f && Elevation <= 303f && slope > 0.157308f && TRI_mean <= 1.01274f";"add(0.0215723f * Intercept, -0.041165f * Distance2SecundaryRoads, 0.000541f * Distance2MajorRoads, 0.93f * BUPERCTOT_2000, 5.25e-05f * Elevation, 0.0121f * slope, 0.0011f * Earthquakes_MMI_Index, 2.7e-05f * Distance2Coastline, -5e-05f * Grid_costs_atleast_to_cities, 4e-05f * Distance2LargeInlandWater, -0.004f * TRI_mean, 0.0003f * ln_PopulationDensity_2000_8dir)"
"Rule 72";"BUPERCTOT_2000 > 0.055981f && Distance2SecundaryRoads <= 1.99958f && Grid_costs_atleast_to_towns > 6f";"add(0.0272929f * Intercept, -0.003144f * Distance2SecundaryRoads, 1.03f * BUPERCTOT_2000, -0.011f * TRI_mean, 2.9e-06f * Elevation, 0.0007f * ln_PopulationDensity_2000_8dir, -8e-05f * Grid_costs_atleast_to_villages, -0.004f * IsFloodProneArea_RP100, -3e-05f * Grid_costs_atleast_to_cities, -2e-05f * Grid_costs_atleast_to_towns)"
"Rule 73";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.06786f && Distance2Coastline > 76.4531f && Distance2LargeInlandWater > 1.48364f && Distance2SecundaryRoads <= 0.737301f && Grid_costs_atleast_to_cities > 8f && Grid_costs_atleast_to_towns <= 0f && Elevation <= 303f";"add(-0.0426021f * Intercept, -0.030506f * Distance2SecundaryRoads, 0.015439f * Distance2MajorRoads, 0.0279f * ln_PopulationDensity_2000_8dir, -7.85e-05f * Elevation, -0.0045f * Earthquakes_MMI_Index, -0.00033f * Grid_costs_atleast_to_cities, 8e-05f * Distance2LargeInlandWater, -1.7e-05f * Distance2Coastline, 0.03f * BUPERCTOT_2000)"
"Rule 74";"BUPERCTOT_2000 > 0.0132f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2Coastline > 65.6127f && Distance2SecundaryRoads <= 0.971899f && Grid_costs_atleast_to_towns > 43f && Elevation <= 36f";"add(-0.3431317f * Intercept, 0.1062f * ln_PopulationDensity_2000_8dir, -0.00143f * Grid_costs_atleast_to_cities, -0.000412f * Distance2Coastline, -0.00142f * Distance2LargeInlandWater, -0.000233f * Distance2SecundaryRoads, 0.48f * BUPERCTOT_2000, 5.1e-06f * Elevation, -0.0005f * slope)"
"Rule 75";"BUPERCTOT_2000 > 0.06786f && BUPERCTOT_2000 <= 0.119448f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2Coastline > 2.3977f && Grid_costs_atleast_to_cities > 3f && Grid_costs_atleast_to_towns <= 0f";"add(0.0393382f * Intercept, 0.85f * BUPERCTOT_2000, -0.000115f * Distance2SecundaryRoads, 0.0036f * ln_PopulationDensity_2000_8dir, -0.0024f * slope, 0.00018f * Distance2LargeInlandWater, -0.014f * IsFloodProneArea_RP100, -0.019f * TRI_mean, 5e-06f * Elevation, -0.006f * LandSlideProne_ARUP, 1.8e-05f * Distance2Coastline, -3e-05f * Grid_costs_atleast_to_cities)"
"Rule 76";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && Distance2Coastline > 2.3977f && Distance2Coastline <= 76.4531f && Distance2LargeInlandWater > 1.48364f && Distance2SecundaryRoads <= 0.737301f && Grid_costs_atleast_to_towns <= 0f && slope <= 0.157308f && TRI_mean <= 1.01274f";"add(0.0875145f * Intercept, -0.062816f * Distance2SecundaryRoads, 0.000464f * Distance2Coastline, 0.000416f * Distance2MajorRoads, 0.66f * BUPERCTOT_2000, -0.00085f * Distance2LargeInlandWater, -0.00039f * Grid_costs_atleast_to_cities, -0.005f * IsFloodProneArea_RP100, -0.007f * TRI_mean, 0.0005f * ln_PopulationDensity_2000_8dir, -0.0004f * slope, -0.002f * LandSlideProne_ARUP)"
"Rule 77";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.06786f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2Coastline > 76.4531f && Distance2LargeInlandWater > 1.48364f && Distance2SecundaryRoads <= 0.737301f && Grid_costs_atleast_to_cities <= 8f && Grid_costs_atleast_to_towns <= 0f && Elevation <= 303f";"add(-0.1996077f * Intercept, 0.00794f * Grid_costs_atleast_to_cities, 0.0486f * ln_PopulationDensity_2000_8dir, 0.001092f * Distance2MajorRoads, 0.00208f * Distance2LargeInlandWater, -0.51f * BUPERCTOT_2000, -0.000219f * Distance2Coastline)"
"Rule 78";"BUPERCTOT_2000 > 0.06786f && BUPERCTOT_2000 <= 0.119448f && Distance2Coastline > 2.3977f && Grid_costs_atleast_to_cities <= 3f && Grid_costs_atleast_to_towns <= 0f";"add(0.0381343f * Intercept, 0.77f * BUPERCTOT_2000, 0.0101f * ln_PopulationDensity_2000_8dir, 0.00059f * Distance2LargeInlandWater, -0.068f * TRI_mean, 1.25e-05f * Elevation, -0.021f * LandSlideProne_ARUP, -0.017f * IsFloodProneArea_RP100, 0.001f * Earthquakes_MMI_Index, -1.5e-05f * Distance2SecundaryRoads, 6e-06f * Distance2Coastline)"
"Rule 79";"BUPERCTOT_2000 > 0.082754f && ln_PopulationDensity_2000_8dir <= 5.391702f && Distance2SecundaryRoads <= 1.99958f";"add(0.0207643f * Intercept, -0.002002f * Distance2SecundaryRoads, 0.97f * BUPERCTOT_2000, -0.0013f * slope, 0.0011f * ln_PopulationDensity_2000_8dir, -6e-05f * Grid_costs_atleast_to_cities, 8e-05f * Distance2LargeInlandWater, 3.1e-06f * Elevation, 1.6e-05f * Distance2Coastline)"
"Rule 8";"BUPERCTOT_2000 <= 6.5e-05f";"add(0.0014465f * Intercept, -0.000422f * Distance2SecundaryRoads, 2.2e-06f * Elevation, -3e-05f * Distance2LargeInlandWater, -2e-05f * Grid_costs_atleast_to_cities, 0.0002f * Earthquakes_MMI_Index)"
"Rule 80";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.06786f && Distance2LargeInlandWater > 1.48364f && Distance2SecundaryRoads <= 0.737301f && Grid_costs_atleast_to_cities > 8f && Grid_costs_atleast_to_towns <= 0f && Elevation > 303f && TRI_mean <= 1.01274f && Earthquakes_MMI_Index > 5f";"add(-0.1287431f * Intercept, 0.002316f * Distance2MajorRoads, 0.0463f * Earthquakes_MMI_Index, -0.94f * BUPERCTOT_2000, -0.00094f * Distance2LargeInlandWater, 0.0042f * ln_PopulationDensity_2000_8dir, 7.1e-05f * Distance2Coastline, -0.00012f * Grid_costs_atleast_to_cities, -4.3e-06f * Elevation)"
"Rule 81";"BUPERCTOT_2000 > 0.0132f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2Coastline > 247.027f && Distance2LargeInlandWater > 24.433f && Distance2MajorRoads > 1.89483f && Grid_costs_atleast_to_cities <= 27f && Grid_costs_atleast_to_towns > 0f && Elevation > 357f";"add(-0.1704153f * Intercept, 0.01413f * Distance2MajorRoads, -0.0047f * Grid_costs_atleast_to_towns, 0.0478f * ln_PopulationDensity_2000_8dir, 0.98f * BUPERCTOT_2000, -0.00121f * Distance2LargeInlandWater, -0.000187f * Distance2SecundaryRoads, 0.00014f * Grid_costs_atleast_to_cities, -0.001f * slope, -2e-06f * Elevation)"
"Rule 82";"BUPERCTOT_2000 <= 0.06786f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2LargeInlandWater > 1.48364f && Distance2SecundaryRoads <= 0.737301f && Grid_costs_atleast_to_cities > 8f && Grid_costs_atleast_to_towns <= 0f && Elevation > 303f && TRI_mean <= 1.01274f && Earthquakes_MMI_Index <= 5f";"add(-0.2340652f * Intercept, 0.019415f * Distance2MajorRoads, 0.0388f * ln_PopulationDensity_2000_8dir, 0.000598f * Distance2Coastline, 0.00117f * Distance2LargeInlandWater, -0.0008f * Grid_costs_atleast_to_cities, -8.1e-06f * Elevation, 0.0018f * Earthquakes_MMI_Index)"
"Rule 83";"BUPERCTOT_2000 <= 0.06786f && Distance2LargeInlandWater > 1.48364f && Distance2SecundaryRoads <= 0.737301f && Grid_costs_atleast_to_cities <= 8f && Grid_costs_atleast_to_towns <= 0f && Elevation > 303f && TRI_mean <= 1.01274f";"add(0.0420744f * Intercept, 0.004029f * Distance2MajorRoads, -0.002041f * Distance2SecundaryRoads, 0.00491f * Grid_costs_atleast_to_cities, 0.000587f * Distance2Coastline, 0.73f * BUPERCTOT_2000, -3.5e-05f * Elevation, 0.00017f * Distance2LargeInlandWater, -0.004f * TRI_mean, -0.0002f * slope)"
"Rule 84";"BUPERCTOT_2000 > 0.0132f && ln_PopulationDensity_2000_8dir > 5.885134f && Distance2Coastline > 247.027f && Distance2MajorRoads <= 1.89483f && Grid_costs_atleast_to_cities <= 27f && Grid_costs_atleast_to_towns > 0f && Elevation > 477f && Elevation <= 1337f && TRI_mean <= 1.03958f && IsFloodProneArea_RP100 <= 0f";"add(0.0675539f * Intercept, 0.006121f * Distance2MajorRoads, 0.00805f * Grid_costs_atleast_to_villages, -0.00319f * Grid_costs_atleast_to_towns, 0.9f * BUPERCTOT_2000, -3.94e-05f * Elevation, 0.0044f * Earthquakes_MMI_Index, -0.0046f * slope, -5e-05f * Grid_costs_atleast_to_cities, 0.0006f * ln_PopulationDensity_2000_8dir)"
"Rule 85";"BUPERCTOT_2000 > 0.119448f && BUPERCTOT_2000 <= 0.225534f && ln_PopulationDensity_2000_8dir > 5.391702f && slope > 0.09292f && IsFloodProneArea_RP100 > 0f";"add(0.0399948f * Intercept, 0.95f * BUPERCTOT_2000, -0.0026f * ln_PopulationDensity_2000_8dir, 0.00024f * Grid_costs_atleast_to_villages, -0.0008f * slope, -1.1e-05f * Distance2Coastline)"
"Rule 86";"BUPERCTOT_2000 > 0.0132f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2Coastline > 65.6127f && Distance2SecundaryRoads <= 0.971899f && Grid_costs_atleast_to_cities > 27f && Grid_costs_atleast_to_towns <= 43f && Elevation <= 36f && Earthquakes_MMI_Index > 5f";"add(-0.0473192f * Intercept, 0.026427f * Distance2MajorRoads, 0.0009182f * Elevation, 1.21f * BUPERCTOT_2000, 0.00111f * Grid_costs_atleast_to_cities)"
"Rule 87";"BUPERCTOT_2000 > 0.119448f && BUPERCTOT_2000 <= 0.225534f && ln_PopulationDensity_2000_8dir > 5.391702f && ln_PopulationDensity_2000_8dir <= 7.969106f && Elevation <= 361f && slope > 0.09292f && IsFloodProneArea_RP100 <= 0f && Earthquakes_MMI_Index <= 0f";"add(0.0908259f * Intercept, 0.89f * BUPERCTOT_2000, -0.04f * TRI_mean, -0.0021f * ln_PopulationDensity_2000_8dir, 4.6e-06f * Elevation, -9e-05f * Grid_costs_atleast_to_towns, 0.0001f * Distance2LargeInlandWater, -0.001f * slope, 2e-05f * Grid_costs_atleast_to_cities)"
"Rule 88";"BUPERCTOT_2000 > 0.119448f && BUPERCTOT_2000 <= 0.225534f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2Coastline > 3.70738f && Elevation <= 361f && slope <= 0.09292f && Earthquakes_MMI_Index <= 0f";"add(0.046434f * Intercept, 0.002176f * Distance2MajorRoads, -0.0344f * slope, 0.86f * BUPERCTOT_2000, 0.00027f * Distance2LargeInlandWater, -3.2e-05f * Distance2Coastline, -3.2e-06f * Elevation, 4e-05f * Grid_costs_atleast_to_cities, 6e-05f * Grid_costs_atleast_to_villages)"
"Rule 89";"BUPERCTOT_2000 > 0.119448f && BUPERCTOT_2000 <= 0.225534f && ln_PopulationDensity_2000_8dir > 7.969106f && Elevation <= 361f && Earthquakes_MMI_Index <= 0f";"add(0.0701044f * Intercept, 0.007463f * Distance2MajorRoads, 0.92f * BUPERCTOT_2000, 0.000339f * Distance2SecundaryRoads, 4.04e-05f * Elevation, -0.0055f * ln_PopulationDensity_2000_8dir, -6e-05f * Distance2Coastline, 0.00022f * Distance2LargeInlandWater, -0.009f * IsFloodProneArea_RP100)"
"Rule 9";"BUPERCTOT_2000 <= 0.006583f && ln_PopulationDensity_2000_8dir > 4.184257f && Distance2Coastline > 189.768f && Distance2SecundaryRoads <= 2.04813f && Grid_costs_atleast_to_cities > 13f && Elevation <= 1080f";"add(-0.0023317f * Intercept, 1.33f * BUPERCTOT_2000, 0.0004f * ln_PopulationDensity_2000_8dir, 8e-07f * Elevation)"
"Rule 90";"BUPERCTOT_2000 > 0.119448f && BUPERCTOT_2000 <= 0.267074f && ln_PopulationDensity_2000_8dir > 5.391702f && LandSlideProne_ARUP > 0f";"add(0.0581614f * Intercept, 0.94f * BUPERCTOT_2000, -9.3e-05f * Distance2SecundaryRoads, 0.00026f * Distance2LargeInlandWater, -0.031f * TRI_mean, 6.2e-05f * Distance2Coastline, -7.1e-06f * Elevation, 0.0014f * ln_PopulationDensity_2000_8dir, 0.0001f * Grid_costs_atleast_to_towns, -0.002f * LandSlideProne_ARUP)"
"Rule 91";"BUPERCTOT_2000 > 0.119448f && BUPERCTOT_2000 <= 0.257022f && ln_PopulationDensity_2000_8dir > 5.391702f && ln_PopulationDensity_2000_8dir <= 8.050878f && Distance2Coastline <= 240.845f && Elevation <= 361f && Earthquakes_MMI_Index > 0f";"add(0.0258536f * Intercept, 0.001033f * Distance2MajorRoads, 0.89f * BUPERCTOT_2000, 4.18e-05f * Elevation, 0.0024f * ln_PopulationDensity_2000_8dir, 0.00021f * Distance2LargeInlandWater, 4.6e-05f * Distance2Coastline, -0.0017f * slope, -0.007f * LandSlideProne_ARUP, -6e-05f * Grid_costs_atleast_to_cities, -0.007f * IsFloodProneArea_RP100, -0.0005f * Earthquakes_MMI_Index)"
"Rule 92";"BUPERCTOT_2000 > 0.119448f && Grid_costs_atleast_to_cities > 12f && Elevation > 361f";"add(0.0684493f * Intercept, 0.89f * BUPERCTOT_2000, -0.041f * TRI_mean, 0.0033f * ln_PopulationDensity_2000_8dir, -4.7e-05f * Distance2SecundaryRoads, -8e-05f * Grid_costs_atleast_to_towns, -7e-05f * Grid_costs_atleast_to_cities, 0.00012f * Grid_costs_atleast_to_villages, -0.007f * IsFloodProneArea_RP100, 8e-05f * Distance2LargeInlandWater, -0.004f * LandSlideProne_ARUP, 2e-06f * Elevation, 0.0004f * Earthquakes_MMI_Index, -0.0004f * slope)"
"Rule 93";"BUPERCTOT_2000 > 0.119448f && Distance2Coastline > 240.845f && Elevation <= 361f && Earthquakes_MMI_Index > 0f";"add(0.0355457f * Intercept, 0.002646f * Distance2MajorRoads, 0.88f * BUPERCTOT_2000, 0.0048f * Earthquakes_MMI_Index, 1.37e-05f * Elevation, -0.0033f * ln_PopulationDensity_2000_8dir, -0.00018f * Grid_costs_atleast_to_towns, 0.00021f * Distance2LargeInlandWater, -3e-05f * Grid_costs_atleast_to_cities)"
"Rule 94";"BUPERCTOT_2000 > 0.119448f && ln_PopulationDensity_2000_8dir > 5.391702f && ln_PopulationDensity_2000_8dir <= 7.969106f && Distance2Coastline <= 3.70738f";"add(0.0372352f * Intercept, 0.002959f * Distance2Coastline, 0.93f * BUPERCTOT_2000, -0.0025f * ln_PopulationDensity_2000_8dir, 9e-05f * Grid_costs_atleast_to_cities, 3.4e-05f * Distance2MajorRoads, -0.006f * IsFloodProneArea_RP100)"
"Rule 95";"BUPERCTOT_2000 > 0.119448f && BUPERCTOT_2000 <= 0.267074f && ln_PopulationDensity_2000_8dir > 5.391702f && ln_PopulationDensity_2000_8dir <= 7.746466f && Grid_costs_atleast_to_cities <= 12f && Elevation > 361f && LandSlideProne_ARUP <= 0f";"add(0.0362691f * Intercept, -0.000661f * Distance2SecundaryRoads, 0.8f * BUPERCTOT_2000, 0.0055f * ln_PopulationDensity_2000_8dir, 0.00017f * Distance2LargeInlandWater, 0.0012f * Earthquakes_MMI_Index, -3.9e-06f * Elevation, 4e-05f * Grid_costs_atleast_to_towns, -0.004f * TRI_mean)"
"Rule 96";"BUPERCTOT_2000 > 0.119448f && BUPERCTOT_2000 <= 0.257022f && ln_PopulationDensity_2000_8dir > 8.050878f && Distance2Coastline <= 240.845f && Elevation <= 361f && Earthquakes_MMI_Index > 0f";"add(0.1302027f * Intercept, 0.000688f * Distance2Coastline, -0.0131f * Earthquakes_MMI_Index, 0.8f * BUPERCTOT_2000, 0.00042f * Distance2LargeInlandWater, 0.0017f * slope)"
"Rule 97";"BUPERCTOT_2000 > 0.119448f && BUPERCTOT_2000 <= 0.267074f && ln_PopulationDensity_2000_8dir > 7.746466f && Elevation > 361f && LandSlideProne_ARUP <= 0f";"add(0.0093343f * Intercept, -0.008805f * Distance2MajorRoads, 0.0135f * ln_PopulationDensity_2000_8dir, 0.74f * BUPERCTOT_2000, -0.0042f * Earthquakes_MMI_Index, -5.6e-05f * Distance2SecundaryRoads, 0.00015f * Distance2LargeInlandWater)"
"Rule 98";"BUPERCTOT_2000 > 0.225534f && Earthquakes_MMI_Index <= 0f";"add(0.0393176f * Intercept, 0.001612f * Distance2MajorRoads, 0.94f * BUPERCTOT_2000, 8.3e-05f * Distance2SecundaryRoads, 0.00019f * Grid_costs_atleast_to_towns, -0.0021f * ln_PopulationDensity_2000_8dir, 6.2e-06f * Elevation, 8e-05f * Distance2LargeInlandWater, -1.3e-05f * Distance2Coastline, 0.0005f * slope)"
"Rule 99";"BUPERCTOT_2000 > 0.257022f && Elevation <= 361f && Earthquakes_MMI_Index > 0f";"add(0.006493f * Intercept, 0.002738f * Distance2MajorRoads, 0.93f * BUPERCTOT_2000, 2.13e-05f * Elevation, 0.044f * TRI_mean, -0.0024f * Earthquakes_MMI_Index, 3.1e-05f * Distance2SecundaryRoads, 0.00011f * Distance2LargeInlandWater, -0.0011f * ln_PopulationDensity_2000_8dir, -4e-05f * Grid_costs_atleast_to_towns, -9e-06f * Distance2Coastline)"
